,school_id,short_name,long_name,primary_category,is_high_school,is_middle_school,is_elementary_school,is_pre_school,school_latitude,school_longitude,n_y1,n_low_income_y1,n_special_y1,n_english_learn_y1,n_hispanic_y1,n_y2,n_low_income_y2,n_special_y2,n_english_learn_y2,n_hispanic_y2,community_name,n_non_english_learn_y1,n_non_english_learn_y2,d_total,d_low_income,d_english_learn,d_non_english_learn,d_hispanic,pct_total,pct_low_income,pct_english_learn,pct_non_english_learn,pct_hispanic
18,610024,CARDENAS,Lazaro Cardenas Elementary School,ES,False,True,True,True,41.848488,-87.716017,819,688,153,326,784,763,619,165,321,728,SOUTH LAWNDALE,493,442,-56,-69,-5,-51,-56,-6.837606837606837,-10.029069767441861,-1.5337423312883436,-10.344827586206897,-7.142857142857143
19,400023,CICS - AVALON/SOUTH SHORE,CICS - Avalon/South Shore,ES,False,True,True,False,41.743179,-87.587928,461,361,55,2,1,438,347,62,1,3,AVALON PARK,459,437,-23,-14,-1,-22,2,-4.989154013015185,-3.8781163434903045,-50.0,-4.793028322440088,200.0
20,609904,ELLINGTON,Edward K Ellington Elementary School,ES,False,True,True,True,41.88553,-87.766589,440,328,82,6,14,491,344,97,16,52,AUSTIN,434,475,51,16,10,41,38,11.590909090909092,4.878048780487805,166.66666666666666,9.44700460829493,271.42857142857144
21,610093,NEIL,Jane A Neil Elementary School,ES,False,True,True,True,41.738407,-87.620933,250,195,90,8,6,249,171,100,7,7,CHATHAM,242,242,-1,-24,-1,0,1,-0.4,-12.307692307692308,-12.5,0.0,16.666666666666668
22,609818,BURBANK,Luther Burbank Elementary School,ES,False,True,True,True,41.917598,-87.7827,706,562,135,374,648,699,560,143,395,652,BELMONT CRAGIN,332,304,-7,-2,21,-28,4,-0.9915014164305949,-0.35587188612099646,5.614973262032086,-8.433734939759036,0.6172839506172839
23,609920,KANOON,Gerald Delgado Kanoon Elementary Magnet School,ES,False,True,True,True,41.850771,-87.705112,418,356,53,212,414,367,304,42,201,362,SOUTH LAWNDALE,206,166,-51,-52,-11,-40,-52,-12.200956937799043,-14.606741573033707,-5.188679245283019,-19.41747572815534,-12.560386473429952
24,609938,GARY,Joseph E Gary Elementary School,ES,False,True,True,True,41.837065,-87.718697,768,680,144,383,759,713,635,148,388,705,SOUTH LAWNDALE,385,325,-55,-45,5,-60,-54,-7.161458333333333,-6.617647058823529,1.3054830287206267,-15.584415584415584,-7.1146245059288535
25,609693,WESTINGHOUSE HS,George Westinghouse College Prep,HS,True,False,False,False,41.889977,-87.707332,1194,919,91,57,500,1230,952,104,72,515,HUMBOLDT PARK,1137,1158,36,33,15,21,15,3.0150753768844223,3.5908596300326443,26.31578947368421,1.8469656992084433,3.0
26,610115,PARK MANOR,Park Manor Elementary School,ES,False,True,True,True,41.766477,-87.611546,258,194,38,1,4,251,213,44,2,5,GREATER GRAND CROSSING,257,249,-7,19,1,-8,1,-2.7131782945736433,9.793814432989691,100.0,-3.11284046692607,25.0
27,610135,PORTAGE PARK,Portage Park Elementary School,ES,False,True,True,True,41.956988,-87.761007,831,504,152,190,519,885,533,153,182,541,PORTAGE PARK,641,703,54,29,-8,62,22,6.498194945848375,5.753968253968254,-4.2105263157894735,9.67238689547582,4.238921001926783
